,Datetime,Text
0,2020-04-14 22:57:54+00:00,donc on connait ses effets secondaires couplé au covid-19 ? depuis 80 ans ?
1,2020-04-14 22:57:54+00:00,Gancia lanza una plataforma de compra a futuro de cocktails https://www.onthewineside.com.ar/post/gancia-lanza-una-plataforma-de-compra-a-futuro-de-cocktails #compraafuturo #restaurant #bar #cocteleria #cocktail #spirit #covid19 #cuarentena
2,2020-04-14 22:57:54+00:00,"Adoption of virtual visits and remote monitoring has certainly sped up as a result of #COVID19! What we'll need to pay attention to: costs, how visits are billed, implementation, training (for provider and patient), and particularly capabilities (e.g., bandwidth #digitaldivide)."
3,2020-04-14 22:57:54+00:00,"Lockheed, Northrop, Raytheon Russia, Saudi Arabia....Vince McMahon, Robert Kraft, Jerry Jones...Ricki Lake, Oprah, Mike Douglass make me wet.... #DonaldTrump #COVID19 #coronavirus #MaPoli #BosPoli #GaPol #NYpoli #Utpol #FITN #SCPoli #HipHopRepublicans #Embargo #GrandmaClump"
4,2020-04-14 22:57:54+00:00,"#14Abr | Algunos aspectos del coronavirus que pueden dar optimismo Cuando se inició el brote de covid-19, un microbiólogo español detalló 10 aspectos que consideraba positivos sobre esta pandemia. Fuente: @CNNEE #QuedateEnCasa"
5,2020-04-14 22:57:54+00:00,Positive #COVID19 antigen test &lt;1% in random population screening in Iceland @NEJM
6,2020-04-14 22:57:54+00:00,"If preventing the spread of the covid_19 is the same as being “at war,” then it is unlike any war the world has ever fought."
7,2020-04-14 22:57:53+00:00,#cdnpoli #uspoli #coronavirus #COVID19 #Memes Are you finding things are getting bizarre. I can help. I'll make them even more bizarre: Bizarre memes - 2 .
8,2020-04-14 22:57:53+00:00,"Trump crippled farmers with his trade war, #then you &amp; Trump caking COVID-19 a hoax until now caused farmers to lose restaurants, cruise industry, &amp; more."
9,2020-04-14 22:57:53+00:00,#COVID19 
10,2020-04-14 22:57:53+00:00,"Vergonhosas barbaridades, endossadas pelos autoritarismos covardes! @MinisteriodaDefesa Guilherme Fiuza: interessante reflexão sobre o atual momento do covid-19. https://youtu.be/uls980w4szc via @YouTube"
11,2020-04-14 22:57:53+00:00,"Lol, you don't have to live no type of way to die. Could get in a car accident, trip and hit your head, get COVID-19, anything could happen. "
12,2020-04-14 22:57:53+00:00,Gracias a el gobierno federal y a la iniciativa privada. Juntos contra el Covid 19. Saludos desde Sultepec. Zinacantepec y Toluca.
13,2020-04-14 22:57:53+00:00,RHR & followed by So2 are a dead giveaway in symptomatic people #covid19 
14,2020-04-14 22:57:52+00:00,"@bubblesparaiso Hi,Ms.Bubbles. This may surprise u. That a Yoga Teacher like me is asking for ur help. Im a HathaYoga teacher since 2011. Im a single mom of a special child. Since the start of 2020, w/ covid19, all my private classes have stopped. Im part of NoWorkNoPayWorkForce "
15,2020-04-14 22:57:52+00:00,"Despite the current situation caused by Covid19 and the oficial suspension of administrative deadlines, Spanish Administration continues notifying the positive resolucions for Immigration and Nationality cases and our office continues making electronic submissions. "
16,2020-04-14 22:57:52+00:00,"3) triunfo para la alcaldía de Bogotá y le aceptamos su condición de ideologías de género 4) en medio d la crisis del COVID19, hemos sido cobayas de prueba y error, con las medidas de orden desorganizado, con la ayuda de nuestra desobediencia social, contrapunteando con el gobno"
17,2020-04-14 22:57:52+00:00,"Trump wasted months fighting to protect his re-election chances instead of fighting #COVID19 to protect American lives. Failed to acknowledge crisis, called it a hoax, negated facts, refused expert advice. He takes NO responsibility for his botched response &amp; incompetence"
18,2020-04-14 22:57:52+00:00,@proteccion como es eso que estan descontanto plata de mis cesantias y disque por el covid-19 .estoy revisando mi saldo y aparece menos de lo que tenia? @NoticiasCaracol @stevenarce @GustavoBolivar
19,2020-04-14 22:57:52+00:00,I’ve been on Actemra since September for a rare autoimmune disease - it’s ironic that part of my treatment that makes Covid-19 more deadly for me might also save me
20,2020-04-14 22:57:52+00:00,COVID-19 Shines a Harsh Light on Racial and Ethnic Health Disparities - California Health Care Foundation 
21,2020-04-14 22:57:52+00:00,There is no evidence that the BCG vaccine protects people against infection with #COVID19 virus. 
22,2020-04-14 22:57:52+00:00,UNI: What to do if you have COVID-19 symptoms https://undergroundnewzinc.blogspot.com/2020/04/what-to-do-if-you-have-covid-19-symptoms.html?spref=tw
23,2020-04-14 22:57:52+00:00,"Brilliant :-) You should stop the funding if they allow the wet markets to go ahead. No one else's culture causes this much disruption to our world. How many times are we going to allow this to happen. Bird Flu, SARS, Swine Flu and now Covid-19..."
24,2020-04-14 22:57:52+00:00,"Hey, The model needs to hit 60K or lot of people will be in deep shit can. There will be more surprised covid-19 deaths add to the numbers. If they need to drag death people from last year to make the number, they will. Kind of like close election, sudden votes appears magically"
25,2020-04-14 22:57:52+00:00,Fachistan haciendo bots como locos para culpar a la OMS de la pandemia del Covid19 
26,2020-04-14 22:57:52+00:00,America is still in middle of the global #COVID19 outbreak but Trump sounds like he's at an annual awards banquet handing out pandemic trophies. #uspoli
27,2020-04-14 22:57:51+00:00,"Resumen de COVID19 hoy #14Abril en #Venezuela, con los 4 nuevos casos tenemos: 193 Total de casos en el país 111 Recuperados. 29 en CDI. 10 en aislamiento domiciliario. 23 en hospitales. 19 en clínicas. 2 aislamiento en hoteles. 9 fallecidos. #InformateAquiNed"
